date_publication,reference,objet,acheteurs_public,lieux,date_limite,estimation,caution,url
21/07/2026,28/2026/INDH,Equipement de Dar Taliba Ain Jemaa-Préfecture de Meknès,GOUVERNEUR DE LA PREFECTURE DE MEKNES,MEKNES,"{'date': '13/08/2026', 'time': '10:00'}","858 816,00","12 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1023464&orgAcronyme=g3h
14/07/2026,10/2026/SMMG,Élaboration de l’identité visuelle du Centre Cinématographique Marocain et refonte de son portail Web institutionnel multilingue.,CENTRE CINEMATOGRAPHIQUE MAROCAIN,RABAT,"{'date': '13/08/2026', 'time': '10:00'}","420 000,00","8 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1023531&orgAcronyme=x6c
21/07/2026,58/2026/DRSPSFM,Acquisition et installation de matériel informatique au profit du centre dentaire multidisciplinaire à la préfecture de FES relevant de la Direction régionale de la Santé et de la Protection Sociale à la région Fès-Meknès.,DIRECTION REGIONALE DE LA SANTE A LA REGION DE FES MEKNES,MAROC,"{'date': '13/08/2026', 'time': '10:00'}","2 030 400,00","40 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1024894&orgAcronyme=q9t
27/07/2026,09/2026/INDH/PG,Acquisition des équipements pour le centre d’épanouissement artistique et littéraire à la Province de Guercif.,Province de Guercif,GUERCIF,"{'date': '13/08/2026', 'time': '10:00'}","160 404,00","3 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1025961&orgAcronyme=g3h
30/07/2026,14/2026/CE,"L'EXTENSION DE SYSTÉME DE SURVEILLANCE À LA NOUVELLE GARE ROUTIÈRE AU 
PROFIT DE LA COMMUNE D’ERRACHIDIA",Commune urbaine de ERRACHIDIA,Province d'Errachidia,"{'date': '13/08/2026', 'time': '10:00'}","620 550,00","10 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1026768&orgAcronyme=q0x
29/07/2026,28/2026/BG,ACHAT DE MATÉRIEL INFORMATIQUE AU PROFIT DES POSTES DE COMMANDEMENT DE LA PROVINCE DE CHEFCHAOUEN,GOUVERNEUR DE CHEFCHAOUEN,CHEFCHAOUEN,"{'date': '12/08/2026', 'time': '12:30'}","392 400,00","7 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1028443&orgAcronyme=g3h
17/07/2026,31/2026/ND/EQPCHSOS,EQUIPEMENTS DU CENTRE D’HEBERGEMENT DES SPORTIFS A LA COMMUNE D’OULED SALEH,S.D.L NOUACEUR DEVELOPPEMENT S.A,NOUACEUR,"{'date': '12/08/2026', 'time': '11:00'}","1 954 116,00","38 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1025017&orgAcronyme=g3h
21/07/2026,18/2026/CTSA/S,"ACQUISITION DU MATERIEL INFORMATIQUE, POUR LA SOCIETE CASA TRANSPORTS",CASABLANCA TRANSPORT EN SITE AMENAGE SA,CASABLANCA,"{'date': '12/08/2026', 'time': '10:00'}","333 600,00","3 400,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1024514&orgAcronyme=g3h
21/07/2026,32/2026/ABHBC,Assistance à l’externalisation du projet Portail des usagers de l’eau vers un datacenter souverain,AGENCE DU BASSAIN HYDRAULIQUE DU BOUREGREG ET DE LA CHAOUIA,BENSLIMANE,"{'date': '12/08/2026', 'time': '10:00'}","180 000,00","3 500,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1025584&orgAcronyme=d4q
29/07/2026,27/2026/BG,ACHAT DE MATÉRIEL INFORMATIQUE AU PROFIT DU SECRÉTARIAT GÉNÉRAL DE LA PROVINCE DE CHEFCHAOUEN,GOUVERNEUR DE CHEFCHAOUEN,CHEFCHAOUEN,"{'date': '12/08/2026', 'time': '09:30'}","592 260,00","11 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1028423&orgAcronyme=g3h
14/07/2026,50303/E3/DSID,FOURNITURE DE CONSOMMABLES INFORMATIQUES,OFFICE NATIONAL DES CHEMINS DE FER,RABAT,"{'date': '12/08/2026', 'time': '09:00'}","1 800 000,00","27 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1022663&orgAcronyme=o8p
20/07/2026,26S033,"Refonte des solutions cybersécurité :
	Lot 1 : Acquisition des licences de la solution de gestion de vulnérabilités.
	Lot 2 : Acquisition des licences du portail de gestion des certificats SSL.",OFFICE NATIONAL DES CHEMINS DE FER,RABAT,"{'date': '12/08/2026', 'time': '09:00'}",,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1025162&orgAcronyme=o8p
20/07/2026,03/2026/DAFE,L’autorisation d’occupation temporaire du domaine public de la Commune de Tétouan pour l’installation de panneaux publicitaires Lot 1,Commune urbaine de TETOUAN,TETOUAN,"{'date': '11/08/2026', 'time': '12:00'}","1 830 000,00","915 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1024116&orgAcronyme=l1f
28/07/2026,36/BG/2026,L’ACQUISITION DU MATERIEL INFORMATIQUE POUR L'EQUIPEMENT DE SIX (06) POSTES DE COMMANDEMENT RELEVANT DE LA PROVINCE DE LARACHE.,GOUVERNEUR DE LA PROVINCE DE LARACHE,LARACHE,"{'date': '11/08/2026', 'time': '12:00'}","309 600,00","6 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1025820&orgAcronyme=g3h
21/07/2026,20/2026,Travaux d’achèvement du centre Technopole à la ville de Fquih Ben Salah,Commune de Fquih Ben Salah,FQUIH BEN SALAH,"{'date': '11/08/2026', 'time': '11:00'}","6 210 000,00","100 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1025479&orgAcronyme=z9k
29/07/2026,AOO4/BG/2026,Achat de fournitures informatiques pour la Préfecture d’Arrondissement Hay Hassani-Casablanca-».Lot unique,GOUVERNEUR DE LA PREFECTURE D'ARRONDISSEMENT DE HAY HASSANI,CASABLANCA,"{'date': '11/08/2026', 'time': '10:30'}","373 395,51","7 400,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1001212&orgAcronyme=g3h
31/07/2026,45/FA/DIV.G.F./DIV.S.I.T/ZN/2026,l’acquisition de PC Portables et de tablettes au profit de l’Inspection Générale des Forces Auxiliaires Zone Nord rabat en lot unique.,INSPECTION GENERALE DES FORCES AUXILIAIRES - ZONE NORD,RABAT,"{'date': '11/08/2026', 'time': '10:00'}","133 200,00","1 500,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1018111&orgAcronyme=g3h
