date_publication,reference,objet,acheteurs_public,lieux,date_limite,estimation,caution,url
13/07/2026,84/2026,"Acquisition, installation et configuration du système de gestion de temps, de présence et d’accès pour le siège central de l’ONSSA- Lot unique",OFFICE NATIONAL DE SECURITE SANITAIRE DES PRODUITS ALIMENTAIRES,RABAT,"{'date': '05/08/2026', 'time': '11:00'}","99 960,00","1 200,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1022222&orgAcronyme=q1s
20/07/2026,21/2026/DAFTMM,ACHAT DE MATERIEL INFORMATIQUE POUR LA COMMUNE MECHOUAR KASBAH,Commune urbaine de MECHOUAR-KESBA,MARRAKECH,"{'date': '04/08/2026', 'time': '11:00'}","468 300,00","9 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1019570&orgAcronyme=j0w
23/07/2026,09/INDH/2026,ACQUISITION DES EQUIPEMENTS NECESSAIRES AU FONCTIONNEMENT DE DAR TALIBA A LA COMMUNE TERRITORIALE JABRIA RELEVANT DE LA PROVINCE DE SIDI BENNOUR.,GOUVERNEUR DE LA PROVINCE DE SIDI BENNOUR,Sidi Bennour,"{'date': '04/08/2026', 'time': '11:00'}","800 000,00","15 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1021463&orgAcronyme=g3h
24/07/2026,37/2026/Y/INV,"ACQUISITION DU MATERIEL DE BUREAU DESTINE AU CENTRE DE LA DEUXIEME CHANCE/NOUVELLE GENERATION, A LA CT EL GANTOUR, ET DU MATERIEL INFORMATIQUE DESTINE A LA SALLE  D’EDUCATION INCLUSIVE DU S/S KHMIS ZIMA, A LA CT CHEMAIA, RELEVANT DE LA DIRECTION PROVINCIALE DE YOUSSOUFIA, AREF MS.",DIRECTION PROVINCIALE DE L’EDUCATION NATIONALE DE DE YOUSSOUFIA,MAROC,"{'date': '04/08/2026', 'time': '11:00'}","75 600,00","1 500,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1027105&orgAcronyme=p8x
21/07/2026,06/2026/ANLCA,achat de matériels informatiques au profit des Directions Régionales de l’Agence Nationale de Lutte Contre l’Analphabétisme en lot unique.,AGENCE NATIONALE DE LUTTE CONTRE L'ANALPHABETISME,RABAT,"{'date': '04/08/2026', 'time': '10:30'}","232 800,00","4 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1025852&orgAcronyme=p8x
22/07/2026,17/2026/DAASI,Achat de fournitures pour matériel informatique destinées au Département de la Transition Energétique à Rabat.,"MINISTERE DE LA TRANSITION ENERGETIQUE ET DU DEVELOPPEMENT DURABLE, DEPARTEMENT DE LA TRANSITION ENERGETIQUE",RABAT,"{'date': '04/08/2026', 'time': '10:00'}","812 544,00","12 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1015528&orgAcronyme=d4q
22/07/2026,13/2026/DGR,ACHAT DE MATERIELS INFORMATIQUES POUR LE COMPTE DE LA DIRECTION GENERALE DES ROUTES (LOT UNIQUE).,Direction  Générale des Routes,Wilaya de Rabat,"{'date': '04/08/2026', 'time': '10:00'}","500 880,00","10 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1020268&orgAcronyme=o8p
20/07/2026,10/2026,Achat de fournitures informatiques pour le compte des tribunaux de la circonscription judiciaire de la Cour d’Appel de Nador (lot unique).,DIRECTION PROVINCIALE DE LA JUSTICE DE NADOR,NADOR,"{'date': '04/08/2026', 'time': '10:00'}","999 940,80","18 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1022196&orgAcronyme=t5y
13/07/2026,119/2026,FOURNITURE ET INSTALLATION DE MATERIEL INFORMATIQUE POUR LE COMPTE DE LA SOCIETE AL OMRANE MARRAKECH-SAFI A MARRAKECH,SOCIETE AL OMRANE MARRAKECH - SAFI,MARRAKECH,"{'date': '04/08/2026', 'time': '10:00'}","382 650,00","5 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1022238&orgAcronyme=j8k
13/07/2026,24/2026/AREP/MS,Achat de matériel informatique pour le compte de l’Agence Régionale d’Exécution des Projets - Marrakech Safi.,AGENCE REGIONALE D'EXECUTION DES PROJETS DE LA REGION MARRAKECH SAFI,MARRAKECH,"{'date': '04/08/2026', 'time': '10:00'}","425 760,00","7 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1022694&orgAcronyme=j0w
23/07/2026,26/2026,ACHAT DU MATERIEL INFORMATIQUE AU PROFIT DU CENTRE HOSPITALIER PROVINCIAL D'EL JADIDA,DIRECTEUR DU CENTRE HOSPITALIER PROVINCIAL D'EL JADIDA,EL JADIDA,"{'date': '04/08/2026', 'time': '10:00'}","345 000,00","5 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1022767&orgAcronyme=q9t
22/07/2026,31/2026/BG,l’acquisition de matériel informatique au profit des postes de commandement et de diverses divisions relevant de la Province de Tiznit.,GOUVERNEUR DE LA PROVINCE DE TIZNIT,TIZNIT,"{'date': '04/08/2026', 'time': '10:00'}","555 600,00","10 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1023605&orgAcronyme=g3h
20/07/2026,07/2026/CARDT,Formation au profit du personnel de la chambre d’agriculture de la Région Draa Tafilalet,CHAMBRE D'AGRICULTURE DE LA REGION DRAA TAFILALET,CASABLANCA,"{'date': '04/08/2026', 'time': '10:00'}","94 600,00","1 600,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1025117&orgAcronyme=q1s
21/07/2026,10FSJESAC/2026,"ACQUISITION, INSTALLATION ET MISE EN SERVICE D’UNE SOLUTION WEB OPÉRATIONNELLE, PRÊTE À L’EMPLOI, POUR LA GESTION DU CYCLE COMPLET DES ACHATS PUBLICS AU PROFIT DE LA FACULTÉ DES SCIENCES JURIDIQUES ECONOMIQUES ET SOCIALES AIN CHOCK","FACULTE DES SCIENCES JURIDIQUES, ECONOMIQUES ET SOCIALES  AIN CHOCK- CASABLANCA",CASABLANCA,"{'date': '04/08/2026', 'time': '10:00'}","240 000,00","2 800,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1025655&orgAcronyme=z7x
17/07/2026,20/2026/MAECAMRE,ACQUISITION DE MATERIEL ET LOGICIELS INFORMATIQUES POUR LE COMPTE DU MINISTERE DES AFFAIRES ETRANGERES DE LA COOPERATION AFRICAINE ET DES MAROCAINS RESIDANT A L'ETRANGER A RABAT,"MINISTERE DES AFFAIRES ETRANGERES, DE LA COOPERATION AFRICAINE ET DES MAROCAINS RESIDANT A L'ETRANGER",RABAT,"{'date': '03/08/2026', 'time': '11:00'}","999 840,00","19 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1016577&orgAcronyme=d2f
22/07/2026,01/VE/2026,"Vente aux enchères publiques d’une voiture utilitaire Carburant Diesel de type Ludospace et de divers débarras en métaux, bois, semi-métalliques et plastiques ; en 2 lots.",FACULTE DES SCIENCES ET TECHNIQUES DE FES,MAROC,"{'date': '03/08/2026', 'time': '11:00'}",,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1026087&orgAcronyme=z7x
21/07/2026,06/CRMEF/2026,Acquisition de Matériel informatique et logiciels au profit du Centre Régional des Métiers de l’Education et de la Formation Région Marrakech Safi et ses annexes en lot unique.,CENTRE REGIONAL DES METIERS DE L'EDUCATION ET DE FORMATION MARRAKECH SAFI,MARRAKECH,"{'date': '03/08/2026', 'time': '10:30'}","685 620,00","13 700,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1025819&orgAcronyme=p8x
21/07/2026,25/INDH/PSS/2026,"ACQUISITION D’EQUIPEMENTS AU PROFIT DE L’ÉCOLE DE LA DEUXIEME CHANCE –NOUVELLE GENERATION DU FOYER FEMININ AZGHAR, DU CENTRE SOCIAL BNI FDAL, DU CENTRE SOCIAL DOUAGHER LALLA YETTOU ET DU CENTRE D’EPANOUISSEMENT SCOLAIRE « GENERATIONS MONTANTES » A LA VILLE DE SIDI SLIMANE–PROVINCE DE SIDI SLIMANE-LOT UNIQUE",Province Sidi Slimane,SIDI SLIMANE,"{'date': '03/08/2026', 'time': '10:00'}","717 684,00","12 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1023275&orgAcronyme=g3h
23/07/2026,06/2026/BG/PG,Achat de fournitures pour le matériel informatique destinées aux services et postes de commandement relevant de la Province de Guercif,Province de Guercif,GUERCIF,"{'date': '03/08/2026', 'time': '10:00'}","375 000,00","7 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1023404&orgAcronyme=g3h
22/07/2026,136/2026/SAO,TRAVAUX DE RESEAU TELEPHONIQUE GENIE CIVIL ET CABLAGE DU LOTISSEMENT ARRAHMA TR1 A OUJDA –PREFECTURE OUJDA ANGAD-.,SOCIETE ALOMRANE REGION DE L’ORIENTAL,OUJDA-ANGAD,"{'date': '03/08/2026', 'time': '10:00'}","581 280,00","8 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1026247&orgAcronyme=j8k
22/07/2026,06/2026/CAGCS,ACHAT ET INSTALLATION DE MATERIEL INFORMATIQUE POUR LE COMPTE DE LA CHAMBRE D’AGRICULTURE DE LA REGION CASABLANCA SETTAT,Chambre d'Agriculture de la Région Casasblanca - Settat,EL JADIDA,"{'date': '03/08/2026', 'time': '09:00'}","144 000,00","2 800,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1026343&orgAcronyme=q1s
15/07/2026,12IUH2C/2026,Achat de matériel informatique au profit de la Faculté de Médecine Dentaire de Casablanca,PRESIDENT DE L'UNIVERSITE HASSAN II DE CASABLANCA,CASABLANCA,"{'date': '31/07/2026', 'time': '09:45'}","314 436,00","6 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1023658&orgAcronyme=z7x
15/07/2026,16/2026,ACHAT DE MATERIELS  INFORMATIQUES POUR   LE  CENTRE HOSPITALIER REGIONAL DE FES,CENTRE HOSPITALIER REGIONAL DE FES,FES,"{'date': '30/07/2026', 'time': '11:00'}","1 190 226,00","13 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1020858&orgAcronyme=q9t
15/07/2026,55/2026/EXP.IFNI,ACHAT DE FOURNITURES DE BUREAU ET INFORMATIQUES DESTINEES AUX ETABLISSEMENTS D'ENSEIGNEMENT PRIMAIRE ET COLLEGIAL ET QUALIFIANT DE LA DP RELEVANT DE LA DIRECTION PROVINCIALE DE SIDI IFNI AREF GON,DIRECTION PROVINCIALE DE L’EDUCATION NATIONALE DE SIDI IFNI,SIDI IFNI,"{'date': '29/07/2026', 'time': '12:00'}","279 433,20","5 500,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1023857&orgAcronyme=p8x
17/07/2026,05/UMPO/2026,l’achat de matériel informatique au profit de la Présidence de l’Université Mohammed Premier d’Oujda en lot unique,PRESIDENCE DE L'UNIVERSITE MOHAMMED I,Wialya de Oujda Angad,"{'date': '29/07/2026', 'time': '10:00'}","544 704,00","10 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1024701&orgAcronyme=z7x
17/07/2026,14/Portnet/2026,la passation d'un marché reconductible pour la souscription d'abonnements à des services digitaux premium de type cloud et d'intelligence artificielle au profit de PORTNET S.A. en lot unique,SOCIETE PORTNET SA,CASABLANCA,"{'date': '28/07/2026', 'time': '11:00'}","606 470,40","12 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1024997&orgAcronyme=o8p
14/07/2026,23/2026/AMMPS,"ACQUISITION, INSTALLATION, QUALIFICATION ET MISE EN SERVICE D’UNE SOLUTION DE MONITORING DES CONDITIONS ENVIRONNEMENTALES AU PROFIT DE L'AGENCE MAROCAINE DU MEDICAMENT ET DES PRODUITS DE SANTE",AGENCE MAROCAINE DU MEDICAMENT ET DES PRODUITS DE SANTE,RABAT,"{'date': '28/07/2026', 'time': '10:30'}","1 040 040,00","20 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1022763&orgAcronyme=q9t
15/07/2026,01/PDU/2026/ALOMRANE_SOUSS_MASSA,"La Réalisation des travaux de construction du Grand théâtre d’Agadir Lot: Réseau VDI-IP actif, Commune Territoriale d’Agadir, Préfecture Agadir Ida-Outanane.",SOCIETE AL OMRANE SOUSS MASSA,AGADIR IDA OU TANANE,"{'date': '28/07/2026', 'time': '10:00'}","1 199 424,20","15 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1021611&orgAcronyme=j8k
17/07/2026,12/Portnet/2026,La passation d’un marché reconductible pour la prestation de maintenance et assistance technique des commutateurs fédérateurs pour le compte de PORTNET SA En lot unique,SOCIETE PORTNET SA,CASABLANCA,"{'date': '28/07/2026', 'time': '10:00'}","261 600,00","5 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1024547&orgAcronyme=o8p
15/07/2026,08/2026/ch,Fournitures pour matériel technique et informatique. (ACHAT DE TONER).,Commune HARBIL,MARRAKECH,"{'date': '27/07/2026', 'time': '12:00'}","219 690,00","4 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=995409&orgAcronyme=j0w
13/07/2026,6/ESTC/2026,"Achat de matériel informatique et logiciels pour l’Ecole Supérieure de Technologie de Casablanca en 3 lots.
Lot N° 1 : Achat d'ordinateur de Bureau-imprimantes -scanner
Lot N° 2 : Achat d'Ordinateur Portable
Lot N° 3 : Achat de Logiciels",ECOLE ECOLE SUPERIEURE DE TECHNOLOGIE - CASABLANCA,CASABLANCA,"{'date': '27/07/2026', 'time': '10:30'}",,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1022942&orgAcronyme=z7x
15/07/2026,03/2026,l’Achat de fournitures pour le matériel informatique  pour le compte de l’Institut Supérieur de l’Information et de la Communication (lot unique).,INSTITUT SUPERIEUR DE L'INFORMATION ET DE LA COMMUNICATION,RABAT,"{'date': '27/07/2026', 'time': '10:00'}","109 440,00","2 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1009345&orgAcronyme=x6c
16/07/2026,55/2026/2,"ACHAT D’UNE SOLUTION DE GESTION DE FIL D'ATTENTE DESTINÉ AU CHU DE LAAYOUN. 
(Lot unique)",DIRECTEUR DES EQUIPEMENTS ET DE MAINTENANCE RABAT,LAAYOUNE,"{'date': '27/07/2026', 'time': '10:00'}","840 000,00","9 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1021381&orgAcronyme=q9t
15/07/2026,04/2026/INDH,Acquisition de matériel informatique au profit de la Préfecture de Mohammedia,GOUVERNEUR DE LA PREFECTURE DE MOHAMMADIA,MOHAMMADIA,"{'date': '27/07/2026', 'time': '10:00'}","458 395,20","9 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1021679&orgAcronyme=g3h
16/07/2026,03/2026,L’ACHAT DE MATERIEL INFORMATIQUE POUR LE SIEGE ET POSTE DE COMMANDEMENT AU PROFIT DE LA PROVINCE DE YOUSSOUFIA.,Gouverneur de la Province de Youssoufia,Province de Youssoufia,"{'date': '27/07/2026', 'time': '10:00'}","450 000,00","8 500,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1024232&orgAcronyme=g3h
